country_code,wikipedia_pageviews,date
AT,324662,2023-02-06
BE,311937,2023-02-06
CH,184825,2023-02-06
DE,8399945,2023-02-06
DK,127908,2023-02-06
EE,18282,2023-02-06
ES,2124147,2023-02-06
FI,300962,2023-02-06
HU,257274,2023-02-06
IE,273470,2023-02-06
IT,4847867,2023-02-06
LT,37872,2023-02-06
LV,11557,2023-02-06
NO,131093,2023-02-06
PL,1785050,2023-02-06
PT,188423,2023-02-06
RO,335888,2023-02-06
SE,385096,2023-02-06
SK,64411,2023-02-06
AT,374169,2023-02-07
BE,450053,2023-02-07
CH,226680,2023-02-07
DE,12359202,2023-02-07
DK,162756,2023-02-07
EE,31572,2023-02-07
ES,3033059,2023-02-07
FI,404063,2023-02-07
HU,334002,2023-02-07
IE,293865,2023-02-07
IT,7340083,2023-02-07
LT,60576,2023-02-07
LV,16919,2023-02-07
NO,156201,2023-02-07
PL,2334643,2023-02-07
PT,222656,2023-02-07
RO,461713,2023-02-07
SE,551795,2023-02-07
SK,80374,2023-02-07
AT,443761,2023-02-08
BE,404878,2023-02-08
CH,269790,2023-02-08
DE,12454196,2023-02-08
DK,146991,2023-02-08
EE,30153,2023-02-08
ES,3078285,2023-02-08
FI,376122,2023-02-08
HU,331514,2023-02-08
IE,276976,2023-02-08
IT,8010019,2023-02-08
LT,56708,2023-02-08
LV,16825,2023-02-08
NO,150386,2023-02-08
PL,2275282,2023-02-08
PT,208804,2023-02-08
RO,423881,2023-02-08
SE,551621,2023-02-08
SK,76256,2023-02-08
AT,401995,2023-02-09
BE,336650,2023-02-09
CH,227658,2023-02-09
DE,11469413,2023-02-09
DK,155833,2023-02-09
EE,29976,2023-02-09
ES,2990067,2023-02-09
FI,392426,2023-02-09
HU,325725,2023-02-09
IE,267688,2023-02-09
IT,7943806,2023-02-09
LT,52629,2023-02-09
LV,17096,2023-02-09
NO,145549,2023-02-09
PL,2038317,2023-02-09
PT,191906,2023-02-09
RO,393917,2023-02-09
SE,541036,2023-02-09
SK,74885,2023-02-09
AT,338926,2023-02-10
BE,436504,2023-02-10
CH,217510,2023-02-10
DE,12273497,2023-02-10
DK,145204,2023-02-10
EE,24204,2023-02-10
ES,2806499,2023-02-10
FI,400297,2023-02-10
HU,303460,2023-02-10
IE,286251,2023-02-10
IT,8057852,2023-02-10
LT,44158,2023-02-10
LV,12758,2023-02-10
NO,161395,2023-02-10
PL,1954460,2023-02-10
PT,177839,2023-02-10
RO,316132,2023-02-10
SE,795717,2023-02-10
SK,67065,2023-02-10
AT,428141,2023-02-11
BE,459141,2023-02-11
CH,302997,2023-02-11
DE,13714426,2023-02-11
DK,254189,2023-02-11
EE,43659,2023-02-11
ES,3680857,2023-02-11
FI,399951,2023-02-11
HU,385642,2023-02-11
IE,481151,2023-02-11
IT,9499609,2023-02-11
LT,46283,2023-02-11
LV,15643,2023-02-11
NO,169670,2023-02-11
PL,2326265,2023-02-11
PT,229413,2023-02-11
RO,292521,2023-02-11
SE,1019586,2023-02-11
SK,76558,2023-02-11
AT,500848,2023-02-12
BE,485823,2023-02-12
CH,336777,2023-02-12
DE,14287581,2023-02-12
DK,256589,2023-02-12
EE,37182,2023-02-12
ES,4201560,2023-02-12
FI,495359,2023-02-12
HU,471964,2023-02-12
